real12,pred12,real3,pred3
66.0,65.6,63.125,66.24762
64.875,65.49104,63.88889,66.12402
67.75,65.54808,67.125,66.28371
65.75,65.29666,67.625,65.7392
64.75,65.080315,66.0,65.414406
65.44444,65.40302,64.5,65.85149
66.75,65.60548,66.77778,66.18062
65.875,65.57884,64.25,66.03174
64.625,65.45593,66.125,65.81141
65.55556,65.70259,66.0,65.98381
65.25,65.58026,64.875,65.706215
66.0,65.67377,67.75,65.796745
66.111115,65.82556,65.75,65.83631
65.0,65.728455,64.75,65.64189
64.22222,66.04165,65.44444,66.002106
63.0,66.061195,66.75,66.01806
66.888885,65.90283,65.875,65.82445
65.375,65.91233,64.625,65.827934
67.375,66.06885,65.55556,66.01393
68.0,66.11506,65.25,66.0786
66.111115,66.0173,66.0,65.916885
67.75,66.07984,66.111115,65.97468
66.25,66.070274,65.0,65.95335
67.125,66.08213,64.22222,65.98809
66.44444,66.072205,63.0,66.004395
67.75,66.00781,66.888885,65.889084
65.55556,65.94346,65.375,65.76551
65.0,65.84716,67.375,65.56772
67.14286,66.05496,68.0,65.845406
67.25,66.14149,66.111115,65.92955
65.875,66.214005,67.75,66.101326
66.111115,66.458466,66.25,66.48637
65.333336,66.44998,67.125,66.468185
0.0,66.59535,66.44444,66.71667
0.0,66.572556,67.75,66.65366
0.0,66.6084,65.55556,66.7028
0.0,66.62893,65.0,66.70615
0.0,66.79338,67.14286,66.89337
0.0,66.701805,67.25,66.76585
0.0,66.682236,65.875,66.63684
0.0,66.772224,66.111115,66.792786
0.0,66.87215,65.333336,66.90353
66.25,66.74478,0.0,66.78606
65.5,66.5853,0.0,66.60208
64.666664,66.547714,0.0,66.55318
67.0,67.477615,0.0,67.672516
67.28571,67.26567,0.0,67.34593
66.125,67.12363,0.0,67.278854
65.0,66.73285,0.0,66.519356
66.0,67.31581,0.0,66.88071
64.666664,67.45357,0.0,67.07609
66.75,67.5566,66.25,67.1137
68.111115,67.518814,65.5,67.13353
67.25,67.46076,64.666664,67.168465
66.5,67.280174,67.0,67.05367
63.555557,66.86456,67.28571,66.54927
66.625,66.43793,66.125,66.04022
67.5,66.78009,65.0,66.42532
68.125,67.07282,66.0,66.778336
67.0,66.99165,64.666664,66.79674
66.75,66.771034,66.75,66.536385
65.625,66.71652,68.111115,66.48851
66.71429,66.730385,67.25,66.405495
64.375,66.8312,66.5,66.57578
68.44444,67.22228,63.555557,67.049
68.14286,67.39013,66.625,67.18407
67.375,67.41558,67.5,67.17655
67.57143,67.33712,68.125,66.9944
67.111115,67.4963,67.0,67.122505
67.125,67.829124,66.75,67.45001
67.55556,67.55116,65.625,67.34796
67.625,67.37326,66.71429,67.2003
67.25,67.494896,64.375,67.50431
68.75,67.42406,68.44444,67.28716
68.25,67.53006,68.14286,67.35319
68.111115,67.13736,67.375,66.853905
66.5,67.693,67.57143,67.50189
67.625,67.9075,67.111115,67.81964
67.0,67.931465,67.125,67.83751
68.125,68.01717,67.55556,67.90276
68.125,67.98663,67.625,67.89178
69.875,68.02983,67.25,67.83815
68.111115,67.982285,68.75,67.82545
68.25,68.11229,68.25,67.945854
69.0,68.07654,68.111115,67.93155
69.666664,68.289856,66.5,68.22455
69.0,68.3774,67.625,68.34751
67.77778,68.38582,67.0,68.32816
67.25,68.24901,68.125,68.11001
68.125,68.28601,68.125,68.13778
69.77778,68.250015,69.875,68.0991
69.75,68.309975,68.111115,68.21451
68.77778,68.40686,68.25,68.29235
67.625,68.69752,69.0,68.66005
69.77778,68.44429,69.666664,68.48797
68.875,68.40598,69.0,68.39605
69.625,68.685326,67.77778,68.69929
69.5,68.80303,67.25,68.844
68.625,68.88734,68.125,68.91437
69.5,68.750946,69.77778,68.60696
68.888885,68.57059,69.75,68.402824
68.875,68.7167,68.77778,68.60003
69.375,68.93129,67.625,68.95194
68.55556,68.91475,69.77778,68.948784
69.25,68.79141,68.875,68.78415
69.666664,68.65259,69.625,68.5837
68.25,68.83627,69.5,68.83034
68.875,68.70317,68.625,68.80104
69.0,68.62524,69.5,68.73166
69.375,68.68434,68.888885,68.800026
68.125,68.50951,68.875,68.612305
68.75,68.58982,69.375,68.670586
69.375,68.610115,68.55556,68.691574
69.0,68.53765,69.25,68.54423
69.5,68.59614,69.666664,68.62865
69.0,68.52544,68.25,68.57397
68.111115,68.65117,68.875,68.65735
68.375,68.855064,69.0,68.855194
68.25,68.604645,69.375,68.689026
67.75,68.491745,68.125,68.554886
67.75,68.49885,68.75,68.552864
68.111115,68.33435,69.375,68.68714
69.375,68.249695,69.0,68.60301
69.111115,68.25534,69.5,68.6091
69.375,68.277756,69.0,68.66604
68.625,68.310555,68.111115,68.70881
68.888885,68.18758,68.375,68.67086
67.625,68.14129,68.25,68.635506
66.888885,68.0889,67.75,68.52822
68.25,68.011765,67.75,68.43868
66.8,68.021736,68.111115,68.40685
67.85714,67.87102,69.375,68.25226
68.77778,67.8669,69.111115,68.275185
66.888885,67.93225,69.375,68.29068
67.75,68.1192,68.625,68.42544
68.111115,68.17401,68.888885,68.410774
69.28571,68.258606,67.625,68.49707
68.125,68.288345,66.888885,68.57501
68.5,68.23985,68.25,68.489555
67.75,68.07687,66.8,68.203064
68.333336,67.933365,67.85714,68.00247
68.5,67.9953,68.77778,68.07954
68.77778,68.01189,66.888885,68.08772
68.875,68.011665,67.75,68.07157
68.875,68.11348,68.111115,68.19673
67.666664,67.97748,69.28571,68.03188
68.0,67.8662,68.125,67.92093
68.44444,67.982025,68.5,68.059654
68.875,68.08812,67.75,68.192665
66.22222,68.05771,68.333336,68.148605
59.625,68.0702,68.5,68.16303
58.875,67.94167,68.77778,68.03821
68.44444,68.018135,68.875,68.117645
65.75,68.036606,68.875,68.18336
68.55556,68.145546,67.666664,68.29682
64.5,68.17177,68.0,68.33014
67.22222,68.133224,68.44444,68.28853
68.875,68.06265,68.875,68.20745
66.625,68.03419,66.22222,68.19414
67.666664,68.05885,59.625,68.22536
67.125,68.07776,58.875,68.25855
66.875,67.82416,68.44444,67.94726
67.888885,67.761765,65.75,67.9578
66.44444,67.55397,68.55556,67.74252
67.625,67.70377,64.5,68.03479
59.88889,67.2065,67.22222,67.38963
69.875,67.4638,68.875,67.57065
65.75,66.77912,66.625,66.878006
66.375,66.929726,67.666664,66.97186
67.22222,67.001724,67.125,67.254105
66.888885,67.07494,66.875,67.30517
65.625,66.94196,67.888885,67.22559
67.0,66.79885,66.44444,67.160576
65.375,66.95341,67.625,67.2187
68.625,66.897835,59.88889,67.254166
66.666664,66.84181,69.875,67.15431
67.25,66.82117,65.75,67.17718
68.22222,66.98981,66.375,67.35832
69.75,66.973564,67.22222,67.58544
69.5,66.745476,66.888885,67.3043
68.625,66.870766,65.625,67.14164
66.5,67.050705,67.0,67.50188
65.55556,66.71447,65.375,67.16083
67.875,66.75017,68.625,67.14897
68.125,66.856415,66.666664,67.16672
65.125,66.73967,67.25,67.04742
67.22222,66.738266,68.22222,67.09833
65.0,66.70332,69.75,67.11567
68.0,66.618355,69.5,66.99564
63.375,66.77061,68.625,67.23444
67.625,66.67155,66.5,67.17033
66.125,66.91632,65.55556,67.52641
65.666664,67.13825,67.875,67.73681
68.85714,66.830284,68.125,67.435875
67.5,66.57127,65.125,67.13471
64.333336,66.708954,67.22222,67.27338
63.375,66.695885,65.0,67.283714
67.14286,66.42782,68.0,66.9583
68.25,66.30353,63.375,66.898445
67.25,65.8404,67.625,66.46858
63.625,66.05301,66.125,66.77956
65.625,65.74358,65.666664,66.401344
62.88889,65.8678,68.85714,66.55444
63.88889,65.715836,67.5,66.37239
64.71429,65.56465,64.333336,66.207886
64.5,65.868935,63.375,66.53534
59.625,65.69643,67.14286,66.428085
60.88889,65.47041,68.25,66.17005
65.125,65.07026,67.25,65.781845
68.55556,65.38763,63.625,66.11784
63.875,65.37593,65.625,66.07503
66.625,65.51221,62.88889,66.240395
69.75,65.314125,63.88889,66.06164
68.55556,65.198425,64.71429,66.04785
68.0,64.85911,64.5,65.70577
64.5,64.56324,59.625,65.42129
59.333332,64.20288,60.88889,65.12757
64.111115,63.729034,65.125,64.62401
56.25,63.018486,68.55556,63.85937
68.25,62.956627,63.875,63.81995
66.888885,63.18147,66.625,63.977013
64.625,63.735928,69.75,64.346924
65.55556,63.323685,68.55556,63.970947
65.375,63.632843,68.0,64.30481
62.11111,64.19204,64.5,64.80171
64.25,64.34688,59.333332,65.14438
57.77778,64.9323,64.111115,65.607346
64.625,64.892586,56.25,65.603294
60.77778,65.02328,68.25,65.32382
62.375,65.27936,66.888885,65.30985
65.55556,65.25199,64.625,64.956116
64.5,65.7209,65.55556,65.594666
66.0,65.78266,65.375,65.74463
65.125,65.863716,62.11111,65.63885
68.42857,66.00732,64.25,65.59871
68.0,66.34581,57.77778,65.53848
68.22222,66.19285,64.625,65.19597
67.875,66.34501,60.77778,65.29112
65.25,66.134796,62.375,64.889145
65.22222,66.37091,65.55556,65.17845
66.25,66.18477,64.5,65.18222
67.125,66.31971,66.0,65.305244
68.55556,66.52465,65.125,65.50554
64.625,66.802155,68.42857,65.62483
64.625,66.80145,68.0,65.74954
65.22222,67.05821,68.22222,66.00793
59.75,67.07064,67.875,66.32258
65.71429,67.26694,65.25,66.63861
66.75,67.35199,65.22222,67.03858
68.44444,67.60095,66.25,67.34806
69.125,67.67562,67.125,67.33885
68.55556,67.475876,68.55556,67.09847
66.625,67.55658,64.625,67.25888
67.75,67.699,64.625,67.42375
67.625,67.944275,65.22222,67.71746
66.888885,67.81429,59.75,67.47072
66.75,67.73753,65.71429,67.11984
67.44444,67.74847,66.75,67.080124
67.875,67.805084,68.44444,66.78811
68.25,67.674835,69.125,66.90961
66.111115,67.74784,68.55556,67.16827
68.25,67.843605,66.625,67.597885
66.888885,67.87001,67.75,68.009094
68.22222,67.765335,67.625,68.119286
67.75,67.52005,66.888885,67.76844
69.333336,67.48739,66.75,67.6911
68.125,67.473335,67.44444,67.71679
67.55556,67.44279,67.875,67.720245
66.875,67.43863,68.25,67.71899
66.77778,67.45192,66.111115,67.80631
65.875,67.42214,68.25,67.89252
66.375,67.3228,66.888885,67.910324
67.55556,67.07443,68.22222,67.603455
65.44444,66.95491,67.75,67.63019
67.666664,66.68851,69.333336,67.36333
64.75,66.55258,68.125,67.34935
64.625,66.490585,67.55556,67.37934
66.75,66.527695,66.875,67.54633
64.666664,66.42148,66.77778,67.48703
58.22222,66.26267,65.875,67.364265
66.5,66.01535,66.375,67.10979
66.333336,65.84036,67.55556,66.90957
64.125,65.5912,65.44444,66.59597
67.625,65.40387,67.666664,66.442
64.833336,65.51193,64.75,66.64584
0.0,65.31068,64.625,66.29647
0.0,65.42563,66.75,66.500244
0.0,65.32854,64.666664,66.18315
0.0,65.045204,58.22222,65.7878
0.0,65.10899,66.5,66.03311
0.0,64.98538,66.333336,65.70278
0.0,65.31754,64.125,65.48069
0.0,65.138245,67.625,65.79908
0.0,65.10813,64.833336,65.71938
0.0,64.92273,0.0,65.362434
65.75,65.303825,0.0,65.9753
66.875,65.36015,0.0,65.85655
65.0,66.28749,0.0,66.52759
60.0,66.29954,0.0,66.54442
66.375,66.70468,0.0,66.83377
66.166664,66.72103,0.0,66.82919
66.666664,66.847084,0.0,66.93041
65.125,66.68446,0.0,66.785576
66.14286,66.82321,0.0,66.90366
65.55556,66.88108,65.75,66.91133
61.0,66.87134,66.875,66.8517
64.875,66.82876,65.0,66.78998
67.111115,66.54334,60.0,66.44785
66.25,66.53548,66.375,66.31203
66.77778,65.966934,66.166664,65.77189
65.375,65.96563,66.666664,65.765144
65.55556,66.161804,65.125,66.029785
64.875,66.14027,66.14286,66.03223
56.22222,66.09427,65.55556,65.980156
65.0,66.01179,61.0,65.871704
63.444443,66.04634,64.875,65.927086
65.0,65.99699,67.111115,65.87523
67.77778,66.01021,66.25,65.82591
65.875,65.9722,66.77778,65.76271
66.875,66.16043,65.375,66.03242
65.22222,66.0956,65.55556,65.964745
65.625,66.20307,64.875,66.095856
67.0,66.1604,56.22222,66.01475
63.333332,66.14337,65.0,65.961006
67.0,66.15599,63.444443,65.96006
66.875,66.46255,65.0,66.16997
67.25,66.48416,67.77778,66.251465
66.75,66.14473,65.875,65.752075
66.25,65.97447,66.875,65.62617
65.666664,66.35936,65.22222,66.144806
66.25,66.304924,65.625,66.08739
67.5,66.36612,67.0,66.233765
64.875,66.39957,63.333332,66.234146
65.666664,66.2573,67.0,66.096115
65.333336,66.32394,66.875,66.237885
66.8,66.25962,67.25,66.05937
62.0,66.393364,66.75,66.27617
0.0,66.55811,66.25,66.485855
0.0,66.63895,65.666664,66.58603
0.0,66.751465,66.25,66.71753
0.0,66.752266,67.5,66.69391
0.0,66.670784,64.875,66.60322
0.0,66.59361,65.666664,66.5299
0.0,66.69057,65.333336,66.71554
0.0,66.51284,66.8,66.48328
0.0,66.55942,62.0,66.51677
68.0,66.61327,0.0,66.5028
66.6,66.87268,0.0,66.704796
68.25,67.1451,0.0,66.75685
67.75,67.42716,0.0,67.60446
68.5,67.14684,0.0,67.22778
68.375,66.97873,0.0,67.01013
67.875,66.64651,0.0,66.347115
66.0,67.11491,0.0,66.69554
68.875,67.4446,0.0,66.98913
69.333336,67.747475,68.0,67.26265
67.375,67.79137,66.6,67.34561
69.0,67.829926,68.25,67.42895
67.75,67.603,67.75,67.67778
67.0,67.47372,68.5,67.36875
68.0,67.61622,68.375,67.36939
69.0,68.04282,67.875,67.76396
66.5,67.93317,66.0,67.888725
69.111115,67.892815,68.875,67.94382
68.666664,68.07803,69.333336,68.06353
68.75,67.954575,67.375,67.77919
67.5,68.35359,69.0,68.21654
67.0,68.39743,67.75,68.40199
68.888885,68.39791,67.0,68.34656
67.375,68.46922,68.0,68.44882
68.0,68.51001,69.0,68.46673
68.75,68.302055,66.5,68.19023
68.44444,68.44288,69.111115,68.30546
68.625,68.557724,68.666664,68.50217
68.5,68.33943,68.75,68.19247
68.44444,68.49814,67.5,68.41041
69.22222,68.62461,67.0,68.63056
67.875,68.60128,68.888885,68.61756
69.875,68.618095,67.375,68.54948
59.625,68.49277,68.0,68.34309
69.55556,68.60441,68.75,68.50657
68.75,68.55025,68.44444,68.465164
69.375,68.50448,68.625,68.38641
68.75,68.66922,68.5,68.57981
68.375,68.66143,68.44444,68.59483
69.0,68.66522,69.22222,68.60224
68.75,68.77988,67.875,68.736084
69.0,68.67205,69.875,68.64665
68.75,68.72296,59.625,68.74357
69.75,68.56809,69.55556,68.5531
68.333336,68.696815,68.75,68.72898
69.0,68.93243,69.375,69.029854
69.375,69.05171,68.75,69.078125
69.0,68.97326,68.375,68.98273
68.44444,68.704926,69.0,68.683105
69.75,68.78023,68.75,68.737305
69.0,68.794495,69.0,68.73958
68.625,68.716866,68.75,68.71971
68.25,68.61908,69.75,68.63617
67.125,68.53005,68.333336,68.5485
69.55556,68.457726,69.0,68.50129
68.888885,68.47701,69.375,68.57224
67.57143,68.45685,69.0,68.56496
67.55556,68.40252,68.44444,68.5859
68.44444,68.40218,69.75,68.62295
68.25,68.38467,69.0,68.59248
69.5,68.37274,68.625,68.60147
69.375,68.40332,68.25,68.6685
69.666664,68.38985,67.125,68.72243
67.5,68.21972,69.55556,68.59904
68.25,68.067406,68.888885,68.45701
68.625,68.008965,67.57143,68.25486
69.333336,68.10945,67.55556,68.41811
66.625,68.16333,68.44444,68.524666
68.22222,67.94208,68.25,68.283356
67.75,67.796196,69.5,68.12004
68.333336,67.90272,69.375,68.23002
68.25,67.88797,69.666664,68.17098
67.625,67.99252,67.5,68.30173
67.77778,68.0935,68.25,68.42221
67.875,68.20379,68.625,68.5697
67.111115,68.0905,69.333336,68.448555
67.125,68.06274,66.625,68.41231
69.375,68.10998,68.22222,68.417496
67.375,68.18658,67.75,68.46434
67.666664,67.982666,68.333336,68.23158
68.0,67.94295,68.25,68.1309
67.875,68.00316,67.625,68.08475
67.55556,68.07043,67.77778,68.13747
67.875,68.110115,67.875,68.172646
67.55556,68.09037,67.111115,68.13241
66.85714,68.0171,67.125,68.05427
65.125,67.994606,69.375,68.03598
67.55556,67.911644,67.375,67.94369
68.875,67.79033,67.666664,67.81657
67.0,67.97346,68.0,68.03103
68.22222,67.90761,67.875,67.96244
68.875,67.88019,67.55556,67.94004
66.55556,67.88126,67.875,67.95134
64.42857,67.865555,67.55556,67.94417
68.25,67.76294,66.85714,67.847015
68.55556,67.781494,65.125,67.86747
59.25,67.766014,67.55556,67.8556
67.22222,67.590866,68.875,67.67634
64.625,67.36479,67.0,67.39039
68.375,67.40831,68.22222,67.483795
69.111115,67.552986,68.875,67.664276
67.77778,67.55098,66.55556,67.62586
64.875,67.4788,64.42857,67.61278
67.375,67.61519,68.25,67.78773
68.125,67.51274,68.55556,67.64432
64.0,67.18776,59.25,67.231895
67.5,67.45264,67.22222,67.60603
67.875,67.41917,64.625,67.6734
66.77778,67.498405,68.375,67.780365
67.75,67.317245,69.111115,67.63199
67.625,66.75132,67.77778,67.02344
65.625,67.0348,64.875,67.220406
64.666664,66.92852,67.375,67.34668
67.25,67.03509,68.125,67.411804
67.77778,66.65559,64.0,66.97878
65.44444,66.80911,67.5,67.14826
68.125,66.81046,67.875,67.229774
68.625,66.8704,66.77778,67.12821
65.75,66.721695,67.75,67.11605
69.25,66.67361,67.625,67.21517
64.0,66.73264,65.625,67.218506
66.111115,66.503746,64.666664,67.07599
68.75,66.705864,67.25,67.25577
67.25,66.77678,67.77778,67.17146
63.444443,66.62072,65.44444,67.04424
64.375,66.60576,68.125,67.002556
61.75,66.66578,68.625,66.9754
64.0,66.73227,65.75,66.978874
68.0,66.64342,69.25,67.04555
66.625,66.69679,64.0,67.161064
66.25,66.752,66.111115,67.19048
63.22222,66.968216,68.75,67.492966
64.5,66.710495,67.25,67.139015
64.22222,66.71677,63.444443,67.13148
67.375,66.64432,64.375,67.12309
62.625,66.58005,61.75,67.0815
58.666668,66.21445,64.0,66.653854
59.375,66.034546,68.0,66.5043
68.0,65.65958,66.625,66.190186
66.28571,65.466286,66.25,65.96473
64.25,65.44878,63.22222,66.09643
66.375,65.218666,64.5,65.90572
62.666668,65.35982,64.22222,66.09898
64.666664,64.937096,67.375,65.583115
67.25,65.226326,62.625,65.95972
58.555557,65.10474,58.666668,65.82907
63.25,65.0699,59.375,65.85981
66.0,64.74062,68.0,65.37545
61.625,64.76437,66.28571,65.42453
59.88889,64.51797,64.25,65.23152
69.875,64.42527,66.375,65.41921
58.25,64.18103,62.666668,65.158936
50.666668,64.27493,64.666664,65.05307
65.625,64.095314,67.25,64.93628
64.55556,64.00129,58.555557,64.81345
62.666668,64.42677,63.25,65.17415
60.375,64.336365,66.0,65.02438
63.125,63.95396,61.625,64.756516
65.4,64.07683,59.88889,64.73467
60.555557,63.9564,69.875,64.53481
59.875,63.969715,58.25,64.57716
50.25,63.870316,50.666668,64.293304
59.555557,64.36461,65.625,64.66048
60.375,63.090824,64.55556,63.457664
68.22222,63.73221,62.666668,63.937023
59.875,63.602795,60.375,63.976604
64.55556,63.436493,63.125,63.53955
64.875,63.74197,65.4,63.686546
66.44444,63.946346,60.555557,63.599342
69.85714,64.13578,59.875,63.57342
66.375,64.416275,50.25,64.02202
68.625,64.31102,59.555557,63.752975
65.25,64.518974,60.375,63.64063
62.5,64.42012,68.22222,63.168644
65.125,65.01974,59.875,63.734955
66.875,64.557884,64.55556,63.41028
66.22222,65.70668,64.875,64.750824
66.875,65.51485,66.44444,64.21591
65.0,65.72993,69.85714,64.55664
68.888885,66.182755,66.375,64.905556
66.875,66.21431,68.625,65.234535
66.333336,66.47762,65.25,65.63039
66.75,66.4804,62.5,65.800316
68.375,66.71005,65.125,66.28801
67.125,66.76093,66.875,66.3936
66.888885,66.49155,66.22222,66.15892
68.22222,66.575066,66.875,66.26653
67.25,66.84145,65.0,66.48704
66.875,66.92755,68.888885,66.575096
69.111115,67.17376,66.875,66.851715
68.5,67.40947,66.333336,66.92466
67.375,67.60294,66.75,67.23448
67.888885,67.92216,68.375,67.48769
66.125,67.943054,67.125,67.53463
67.25,67.89885,66.888885,67.51301
68.22222,67.992165,68.22222,67.73391
68.375,68.003555,67.25,67.74537
67.22222,67.93412,66.875,67.73431
68.25,68.02508,69.111115,67.97019
68.0,68.022415,68.5,67.98998
67.0,67.958206,67.375,67.95994
67.25,68.066345,67.888885,68.30601
68.5,68.03566,66.125,68.360565
68.55556,67.79764,67.25,68.167175
68.44444,67.795906,68.22222,68.141624
68.375,67.81572,68.375,67.87016
67.0,67.843216,67.22222,67.89686
68.25,67.84751,68.25,68.09843
67.25,67.90982,68.0,68.246796
67.875,67.779465,67.0,68.14476
68.111115,67.74599,67.25,68.21376
67.75,67.63488,68.5,68.16447
67.55556,67.33535,68.55556,67.89239
68.44444,67.0514,68.44444,67.69166
67.375,67.05051,68.375,67.79245
66.77778,67.08537,67.0,67.894135
68.25,67.01437,68.25,67.88756
68.125,67.03217,67.25,67.92154
65.888885,66.78339,67.875,67.65072
66.875,66.67993,68.111115,67.61346
65.888885,66.55297,67.75,67.46464
65.5,66.381485,67.55556,67.35882
65.44444,66.429504,68.44444,67.439995
66.125,66.324715,67.375,67.36388
66.125,66.16053,66.77778,67.235085
67.55556,66.20646,68.25,67.327065
65.77778,66.17945,68.125,67.18762
66.625,65.99653,65.888885,66.948456
66.125,65.93185,66.875,67.00071
65.22222,65.91176,65.888885,67.01577
66.5,65.62718,65.5,66.61912
66.77778,65.50559,65.44444,66.53708
64.375,65.4998,66.125,66.336075
66.125,65.28979,66.125,66.023346
66.666664,65.328476,67.55556,65.9538
67.25,65.418175,65.77778,66.08937
65.25,65.51605,66.625,66.05074
58.0,65.79634,66.125,66.40216
65.77778,65.746216,65.22222,66.24312
64.5,65.7001,66.5,66.28256
65.25,65.713394,66.77778,66.19734
67.5,65.59866,64.375,65.94758
64.666664,65.678986,66.125,66.01988
65.25,65.77195,66.666664,66.076004
65.888885,65.57093,67.25,65.72725
64.75,65.63777,65.25,65.763985
66.125,65.81042,58.0,65.88903
66.0,66.00275,65.77778,66.15291
66.125,65.9259,64.5,65.94928
67.0,66.02949,65.25,65.93115
67.125,65.938416,67.5,65.88671
64.875,65.757935,64.666664,65.619194
64.25,65.56953,65.25,65.44206
57.285713,65.88066,65.888885,65.827354
66.333336,65.70244,64.75,65.6086
66.75,65.65251,66.125,65.53001
67.888885,65.774864,66.0,65.664185
66.375,65.70617,66.125,65.55393
66.77778,65.83068,67.0,65.70203
68.333336,65.94829,67.125,65.82968
66.0,66.02447,64.875,65.92275
66.0,66.22914,64.25,66.15766
67.42857,66.38853,57.285713,66.34597
63.125,66.238335,66.333336,66.11918
64.875,66.06129,66.75,65.89063
66.44444,66.27167,67.888885,65.97842
66.75,66.47243,66.375,66.31592
65.77778,66.50181,66.77778,66.32806
64.625,66.60689,68.333336,66.507965
67.25,66.52993,66.0,66.38393
66.375,66.604256,66.0,66.51017
66.55556,66.75476,67.42857,66.77018
56.25,66.71858,63.125,66.692055
65.888885,66.67629,64.875,66.61144
66.14286,66.804,66.44444,66.75289
65.875,66.69245,66.75,66.52916
67.875,66.63154,65.77778,66.32674
66.55556,66.78822,64.625,66.51274
67.375,66.893105,67.25,66.61795
65.888885,66.89969,66.375,66.54191
67.44444,66.85737,66.55556,66.41415
67.75,66.9686,56.25,66.61092
66.888885,66.920715,65.888885,66.61666
67.5,66.88983,66.14286,66.616684
67.42857,67.04011,65.875,66.78265
67.0,67.11891,67.875,66.78932
66.125,67.02209,66.55556,66.65273
67.55556,67.350555,67.375,66.79012
66.44444,67.68469,65.888885,67.1815
66.375,67.40355,67.44444,66.976036
66.125,67.49706,67.75,67.1641
67.888885,67.16881,66.888885,66.83194
66.5,67.22255,67.5,66.97381
68.25,67.22295,67.42857,67.08287
66.875,67.16223,67.0,67.047386
67.888885,67.295166,66.125,67.17203
68.14286,67.461136,67.55556,67.353134
66.875,67.532486,66.44444,67.359634
67.25,67.53685,66.375,67.2965
67.111115,67.8801,66.125,67.513115
68.375,67.69825,67.888885,67.296295
68.25,67.58568,66.5,67.279526
68.625,67.637436,68.25,67.34413
68.888885,67.74116,66.875,67.55598
68.25,67.847046,67.888885,67.57785
67.75,67.89526,68.14286,67.665924
68.875,67.99921,66.875,67.76426
67.75,68.07534,67.25,67.88384
69.333336,68.22277,67.111115,68.12923
67.125,68.1081,68.375,67.97508
67.25,68.23064,68.25,68.022194
67.77778,68.182434,68.625,67.969765
68.625,68.3126,68.888885,68.174934
68.75,68.31179,68.25,68.25278
69.125,68.36179,67.75,68.33354
69.22222,68.47466,68.875,68.46914
69.25,68.586426,67.75,68.577255
68.888885,68.513565,69.333336,68.42085
69.0,68.59791,67.125,68.548744
68.0,68.54989,67.25,68.492645
68.375,68.66016,67.77778,68.65897
67.75,68.54264,68.625,68.46192
68.125,68.48568,68.75,68.336815
70.0,68.40384,69.125,68.27451
68.5,68.480896,69.22222,68.40976
69.375,68.51706,69.25,68.479576
69.0,68.672035,68.888885,68.661316
69.125,68.73039,69.0,68.71103
68.77778,68.842155,68.0,68.83786
68.375,68.78882,68.375,68.8021
68.5,68.818054,67.75,68.82674
69.375,68.637955,68.125,68.61013
69.0,68.501816,70.0,68.498566
68.75,68.319405,68.5,68.3163
68.666664,68.32325,69.375,68.296936
68.375,68.540245,69.0,68.55026
68.44444,68.55561,69.125,68.537865
69.0,68.5187,68.77778,68.55337
67.888885,68.5085,68.375,68.52026
67.25,68.52661,68.5,68.53811
69.375,68.34523,69.375,68.42051
69.55556,68.2507,69.0,68.31679
67.625,68.28602,68.75,68.27481
68.0,68.367195,68.666664,68.45003
68.55556,68.32854,68.375,68.50902
